source_pdf,page,mg_sample_no,sample_id,project,date_sampled,date_tested,sample_description,emerson_class,dispersion_potential,water_type,notes
S26240-1_Reports__03_06_26_.pdf,1,S116199,HA2_0.4-0.8,Chowder Bay DFI (60740478),24/03/2026,28/05/2026,"Sandy Silty CLAY, trace of gravel",5,Low,Distilled,
S26240-1_Reports__03_06_26_.pdf,5,S116200,HA3_0.4-0.8,Chowder Bay DFI (60740478),24/03/2026,28/05/2026,"Sandy Silty CLAY, trace of gravel",5,Low,Distilled,
S26240-1_Reports__03_06_26_.pdf,8,S116201,ABH2_1.0-2.0,Chowder Bay DFI (60740478),24/03/2026,2/06/2026,"Silty Clayey SAND, trace of gravel",4,Low,Distilled,"Reaction with acid, calcite is present"
S26240-1_Reports__03_06_26_.pdf,11,S116202,ABH5_0.13-1.5,Chowder Bay DFI (60740478),24/03/2026,2/06/2026,"Sandy Silty CLAY, trace of gravel",4,Low,Distilled,"Reaction with acid, calcite is present"
S26240-1_Reports__03_06_26_.pdf,14,S116203,ABH8_0.48-1.1,Chowder Bay DFI (60740478),24/03/2026,29/05/2026,"Silty Clayey SAND, trace of gravel",5,Low,Distilled,
S26240-1_Reports__03_06_26_.pdf,17,S116204,ABH2_3.5-3.95,Chowder Bay DFI (60740478),24/03/2026,29/05/2026,Silty Clayey SAND with gravel,6,Low,Distilled,
S26240-1_Reports__03_06_26_.pdf,20,S116205,ABH3_2.0-3.0,Chowder Bay DFI (60740478),24/03/2026,2/06/2026,Silty Clayey SAND with gravel,5,Low,Distilled,
S26240-1_Reports__03_06_26_.pdf,23,S116206,ABH4_3.0-3.4,Chowder Bay DFI (60740478),24/03/2026,2/06/2026,Silty Clayey SAND with gravel,4,Low,Distilled,"Reaction with acid, calcite is present"
S26240-1_Reports__03_06_26_.pdf,26,S116207,ABH4_6.0-6.45,Chowder Bay DFI (60740478),24/03/2026,2/06/2026,Silty SAND with Clay,5,Low,Distilled,
S26240-1_Reports__03_06_26_.pdf,27,S116208,ABH6_0.5-1.5,Chowder Bay DFI (60740478),24/03/2026,27/05/2026,"Silty SAND, trace of gravel",4,Low,Distilled,"Reaction with acid, calcite is present"
