source_pdf,page,mg_sample_no,sample_id,sample_description,sieve_mm,passing_pct
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",200.0,100.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",75.0,100.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",63.0,100.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",37.5,100.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",26.5,100.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",19.0,100.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",13.2,100.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",9.5,100.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",6.7,99.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",4.75,99.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",2.36,99.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",1.18,98.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",0.6,97.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",0.425,94.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",0.3,90.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",0.212,79.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",0.15,62.0
S26240-1_Reports__03_06_26_.pdf,4,S116199,HA2_0.4-0.8,"Sandy Silty CLAY, trace of gravel",0.075,50.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",200.0,100.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",75.0,100.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",63.0,100.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",37.5,100.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",26.5,100.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",19.0,100.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",13.2,100.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",9.5,100.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",6.7,100.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",4.75,99.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",2.36,99.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",1.18,99.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",0.6,98.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",0.425,93.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",0.3,79.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",0.212,64.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",0.15,50.0
S26240-1_Reports__03_06_26_.pdf,7,S116200,HA3_0.4-0.8,"Sandy Silty CLAY, trace of gravel",0.075,42.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",200.0,100.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",75.0,100.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",63.0,100.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",37.5,100.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",26.5,100.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",19.0,99.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",13.2,94.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",9.5,91.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",6.7,89.0
